key,population,households,white,hispanic,black,native,asian,pacific,other,multi,poverty,college,seniors,minors,english,single,married,widowed,divorced,renters,owners
1,91678,41195,0.687,0.098,0.066,0.007,0.089,0.006,0.002,0.044,1519,31369,11649,18520,67687,26909,35105,3618,10066,16599,24596
2,92281,34401,0.309,0.094,0.199,0.006,0.334,0.006,0.002,0.05,2878,22661,13031,19876,43884,26373,35297,4686,9100,15654,18747
3,91197,46839,0.682,0.065,0.105,0.006,0.091,0.002,0.002,0.046,1356,42042,10561,11957,71055,42353,26820,2850,9070,28774,18065
4,93874,39907,0.73,0.05,0.023,0.003,0.138,0.002,0.002,0.051,926,42773,8459,13769,73377,46438,26561,2506,6769,22418,17489
5,90114,41744,0.687,0.073,0.057,0.007,0.12,0.003,0.003,0.05,1593,34975,12984,15623,65864,27985,34802,4728,9126,19162,22582
6,88763,42240,0.834,0.048,0.016,0.005,0.052,0.001,0.003,0.041,636,44981,9511,14823,73492,29352,35442,2654,8251,18509,23731
7,86024,50112,0.753,0.058,0.043,0.008,0.092,0.003,0.002,0.041,740,45285,10455,7789,70051,39542,27385,2543,9824,33720,16392
avg,90562,42348,0.669,0.069,0.073,0.006,0.131,0.003,0.002,0.046,1378,37727,10950,14622,66487,34136,31630,3369,8887,22119,20229
